,0
1216,"Takako Minekawa, Dustin Wong"
1217,Oasis
1218,Witch Mountain
1219,Z
1220,S
1221,The Smashing Pumpkins
1222,Mapei
1223,Arp
1224,Laetitia Sadier
1225,Salt Cathedral
1226,Dan'L Boone
1227,Foxes In Fiction
1228,Youth Code
1229,Mecca Normal
1230,Matthew Shipp
1231,Iron Reagan
1232,Moonface
1233,Krieg
1234,The Ukiah Drag
1235,Jo Johnson
1236,Sloan
1237,Karen O
1238,Ital
1239,Mutual Benefit
1240,Earth
1241,Yob
1242,Sinoia Caves
1243,Music Blues
1244,Twerps
1245,Dark Sky
1246,Marcel Dettmann
1247,The Bug
1248,The Young
1249,Jj
1250,Black Rain
1251,Willis Earl Beal
1252,Sinad O'Connor
1253,Tashi Dorji
1254,The Gaslight Anthem
1255,B L A C K I E
1256,Zeitkratzer
1257,Operators
1258,Moir
1259,Electric Wrms
1260,Kenny Dope
1261,Martyrdd
1262,King Louie
1263,Abysmal Lord
1264,The Rosebuds
1265,Hideki Kaji
1266,David Kilgour And The Heavy Eights
1267,Stardeath And White Dwarfs
1268,Wolfgang Voigt
1269,Hanssen
1270,Zackey Force Funk
1271,Default Genders
1272,The Raveonettes
1273,The Unicorns
1274,The Acid
1275,Common
1276,"Jeremih, Shlohmo"
1277,White Fence
1278,Tessela
1279,Freeman
1280,La Roux
1281,James Blackshaw
1282,Anna Calvi
1283,Mr. Dream
1284,Araabmuzik
1285,"Rioux, Stephon Alexander"
1286,Peter Murphy
1287,Dj Dodger Stadium
1288,Morrissey
